date,aqi,aqi_bucket,co,no2,o3,pm10,pm25,so2
2021-07-12,84.0,Satisfactory,,11.0,30.0,,84.0,8.0
2021-07-13,76.0,Satisfactory,,10.0,37.0,,76.0,2.0
2021-07-14,84.0,Satisfactory,,9.0,34.0,,84.0,2.0
2021-07-15,75.0,Satisfactory,,10.0,33.0,,75.0,9.0
2021-07-16,87.0,Satisfactory,,14.0,24.0,,87.0,3.0
2021-07-17,101.0,Moderately Polluted,,11.0,3.0,,101.0,3.0
2021-07-18,86.0,Satisfactory,,14.0,13.0,,86.0,3.0
2021-07-19,53.0,Satisfactory,,12.0,6.0,,53.0,3.0
2021-07-20,53.0,Satisfactory,,10.0,5.0,,53.0,10.0
2021-07-21,58.0,Satisfactory,,12.0,6.0,,58.0,13.0
2021-07-22,68.0,Satisfactory,,14.0,6.0,,68.0,10.0
2021-07-23,74.0,Satisfactory,,9.0,6.0,,74.0,11.0
2021-07-24,55.0,Satisfactory,,8.0,9.0,,55.0,3.0
2021-07-25,75.0,Satisfactory,,9.0,7.0,,75.0,10.0
2021-07-26,73.0,Satisfactory,,13.0,6.0,,73.0,10.0
2021-07-27,60.0,Satisfactory,,14.0,4.0,,60.0,3.0
2021-07-28,51.0,Satisfactory,,12.0,5.0,,51.0,4.0
2021-07-29,47.0,Good,,13.0,5.0,,47.0,4.0
2021-07-30,53.0,Satisfactory,,12.0,6.0,,53.0,11.0
2021-07-31,52.0,Satisfactory,,5.0,5.0,,52.0,3.0
2021-08-01,30.0,Good,,8.0,8.0,,30.0,11.0
2021-08-02,36.0,Good,,8.0,7.0,,36.0,11.0
2021-08-03,43.0,Good,,8.0,8.0,,43.0,10.0
2021-08-04,50.0,Good,,10.0,8.0,,50.0,8.0
2021-08-05,47.0,Good,,11.0,9.0,,47.0,10.0
2021-08-06,78.0,Satisfactory,,11.0,8.0,,78.0,9.0
2021-08-07,71.0,Satisfactory,,10.0,7.0,,71.0,4.0
2021-08-08,55.0,Satisfactory,,16.0,9.0,,55.0,9.0
2021-08-09,72.0,Satisfactory,,16.0,8.0,,72.0,4.0
2021-08-10,89.0,Satisfactory,,18.0,7.0,,89.0,10.0
2021-08-11,87.0,Satisfactory,,16.0,8.0,,87.0,4.0
2021-08-12,82.0,Satisfactory,,19.0,9.0,,82.0,4.0
2021-08-13,91.0,Satisfactory,,17.0,11.0,,91.0,4.0
2021-08-14,95.0,Satisfactory,,16.0,11.0,,95.0,4.0
2021-08-15,107.0,Moderately Polluted,,20.0,7.0,,107.0,11.0
2021-08-16,107.0,Moderately Polluted,,19.0,10.0,,107.0,10.0
2021-08-17,120.0,Moderately Polluted,,17.0,9.0,,120.0,4.0
2021-08-18,111.0,Moderately Polluted,,16.0,6.0,,111.0,11.0
2021-08-19,103.0,Moderately Polluted,,13.0,5.0,,103.0,4.0
2021-08-20,87.0,Satisfactory,,13.0,7.0,,87.0,4.0
2021-08-21,78.0,Satisfactory,,12.0,10.0,,78.0,4.0
2021-08-22,97.0,Satisfactory,,13.0,5.0,,97.0,10.0
2021-08-23,85.0,Satisfactory,,15.0,6.0,,85.0,3.0
2021-08-24,84.0,Satisfactory,,14.0,6.0,,84.0,5.0
2021-08-25,82.0,Satisfactory,,14.0,6.0,,82.0,4.0
2021-08-26,95.0,Satisfactory,,13.0,9.0,,95.0,4.0
2021-08-27,108.0,Moderately Polluted,8.0,29.0,16.0,,108.0,6.0
2021-08-28,111.0,Moderately Polluted,,29.0,10.0,,111.0,2.0
2021-08-29,91.0,Satisfactory,,34.0,6.0,,91.0,7.0
2021-08-30,78.0,Satisfactory,,33.0,8.0,,78.0,2.0
2021-08-31,70.0,Satisfactory,,31.0,9.0,60.0,70.0,6.0
2021-09-01,85.0,Satisfactory,,35.0,11.0,57.0,85.0,3.0
2021-09-02,99.0,Satisfactory,,26.0,12.0,48.0,99.0,3.0
2021-09-03,72.0,Satisfactory,,11.0,9.0,33.0,72.0,3.0
2021-09-04,59.0,Satisfactory,,14.0,9.0,40.0,59.0,3.0
2021-09-05,70.0,Satisfactory,,31.0,8.0,60.0,70.0,3.0
2021-09-06,121.0,Moderately Polluted,,41.0,10.0,44.0,121.0,3.0
2021-09-07,83.0,Satisfactory,5.0,25.0,11.0,38.0,83.0,4.0
2021-09-08,65.0,Satisfactory,5.0,24.0,14.0,44.0,65.0,4.0
2021-09-09,83.0,Satisfactory,4.0,25.0,13.0,41.0,83.0,4.0
2021-09-10,88.0,Satisfactory,6.0,25.0,11.0,44.0,88.0,6.0
2021-09-11,98.0,Satisfactory,5.0,19.0,15.0,42.0,98.0,5.0
2021-09-12,76.0,Satisfactory,7.0,23.0,12.0,48.0,76.0,6.0
2021-09-13,80.0,Satisfactory,6.0,22.0,9.0,30.0,80.0,12.0
2021-09-14,58.0,Satisfactory,6.0,19.0,9.0,16.0,58.0,5.0
2021-09-15,47.0,Good,6.0,18.0,9.0,6.0,47.0,5.0
2021-09-16,32.0,Good,6.0,17.0,8.0,22.0,32.0,5.0
2021-09-17,54.0,Satisfactory,7.0,17.0,10.0,54.0,54.0,6.0
2021-09-18,83.0,Satisfactory,6.0,16.0,12.0,59.0,83.0,6.0
2021-09-19,82.0,Satisfactory,7.0,19.0,11.0,64.0,82.0,7.0
2021-09-20,98.0,Satisfactory,6.0,21.0,13.0,51.0,98.0,6.0
2021-09-21,90.0,Satisfactory,6.0,26.0,10.0,50.0,90.0,6.0
2021-09-22,91.0,Satisfactory,6.0,20.0,12.0,44.0,91.0,5.0
2021-09-23,83.0,Satisfactory,6.0,19.0,10.0,34.0,83.0,6.0
2021-09-24,79.0,Satisfactory,7.0,21.0,11.0,42.0,79.0,7.0
2021-09-25,83.0,Satisfactory,8.0,21.0,13.0,47.0,83.0,8.0
2021-09-26,100.0,Satisfactory,9.0,18.0,10.0,51.0,100.0,8.0
2021-09-27,104.0,Moderately Polluted,5.0,17.0,11.0,40.0,104.0,5.0
2021-09-28,64.0,Satisfactory,6.0,17.0,11.0,44.0,64.0,5.0
2021-09-29,91.0,Satisfactory,8.0,17.0,11.0,43.0,91.0,7.0
2021-09-30,67.0,Satisfactory,6.0,18.0,14.0,50.0,67.0,6.0
2021-10-01,85.0,Satisfactory,6.0,21.0,15.0,50.0,85.0,5.0
2021-10-02,71.0,Satisfactory,10.0,25.0,16.0,62.0,71.0,9.0
2021-10-03,97.0,Satisfactory,7.0,21.0,10.0,53.0,97.0,7.0
2021-10-04,78.0,Satisfactory,3.0,,9.0,53.0,78.0,3.0
2021-10-05,93.0,Satisfactory,2.0,,1.0,73.0,93.0,1.0
2021-10-06,91.0,Satisfactory,3.0,,13.0,85.0,91.0,2.0
2021-10-07,136.0,Moderately Polluted,20.0,2.0,18.0,136.0,127.0,22.0
2021-10-08,172.0,Moderately Polluted,29.0,,16.0,144.0,172.0,35.0
2021-10-09,163.0,Moderately Polluted,22.0,,14.0,123.0,163.0,21.0
2021-10-10,166.0,Moderately Polluted,7.0,,16.0,126.0,166.0,6.0
2021-10-11,164.0,Moderately Polluted,4.0,,11.0,125.0,164.0,4.0
2021-10-12,169.0,Moderately Polluted,9.0,,15.0,119.0,169.0,8.0
2021-10-13,152.0,Moderately Polluted,7.0,,22.0,126.0,152.0,6.0
2021-10-14,163.0,Moderately Polluted,6.0,,16.0,161.0,163.0,5.0
2021-10-15,184.0,Moderately Polluted,3.0,,10.0,117.0,184.0,3.0
2021-10-16,174.0,Moderately Polluted,2.0,,2.0,57.0,174.0,2.0
2021-10-17,119.0,Moderately Polluted,3.0,,3.0,33.0,119.0,2.0
2021-10-18,68.0,Satisfactory,4.0,,4.0,38.0,68.0,3.0
2021-10-19,100.0,Satisfactory,9.0,,11.0,100.0,73.0,15.0
2021-10-20,150.0,Moderately Polluted,22.0,,9.0,120.0,150.0,32.0
2021-10-21,159.0,Moderately Polluted,14.0,,8.0,127.0,159.0,25.0
2021-10-22,139.0,Moderately Polluted,24.0,,8.0,119.0,139.0,22.0
2021-10-23,160.0,Moderately Polluted,8.0,,7.0,92.0,160.0,7.0
2021-10-24,152.0,Moderately Polluted,6.0,,5.0,101.0,152.0,6.0
2021-10-25,145.0,Moderately Polluted,5.0,,5.0,95.0,145.0,5.0
2021-10-26,145.0,Moderately Polluted,4.0,53.0,3.0,116.0,145.0,4.0
2021-10-27,168.0,Moderately Polluted,7.0,3.0,3.0,168.0,158.0,6.0
2021-10-28,189.0,Moderately Polluted,15.0,1.0,3.0,144.0,189.0,14.0
2021-10-29,209.0,Poor,21.0,,3.0,177.0,209.0,35.0
2021-10-30,237.0,Poor,25.0,,3.0,237.0,227.0,33.0
2021-10-31,489.0,Severe,28.0,46.0,3.0,489.0,236.0,37.0
2021-11-01,549.0,,8.0,31.0,2.0,549.0,330.0,8.0
2021-11-02,245.0,Poor,11.0,35.0,2.0,245.0,210.0,10.0
2021-11-03,416.0,Severe,30.0,39.0,5.0,416.0,257.0,28.0
2021-11-04,430.0,Severe,19.0,34.0,6.0,430.0,346.0,17.0
2021-11-05,384.0,Very Poor,10.0,34.0,6.0,215.0,384.0,9.0
2021-11-06,434.0,Severe,12.0,37.0,5.0,434.0,256.0,11.0
2021-11-07,406.0,Severe,12.0,42.0,12.0,327.0,406.0,11.0
2021-11-08,354.0,Very Poor,9.0,45.0,12.0,230.0,354.0,8.0
2021-11-09,381.0,Very Poor,18.0,44.0,9.0,198.0,381.0,16.0
2021-11-10,294.0,Poor,14.0,50.0,5.0,104.0,294.0,13.0
2021-11-11,186.0,Moderately Polluted,15.0,51.0,8.0,147.0,186.0,13.0
2021-11-12,197.0,Moderately Polluted,15.0,55.0,11.0,113.0,197.0,14.0
2021-11-13,191.0,Moderately Polluted,18.0,56.0,14.0,181.0,191.0,20.0
2021-11-14,243.0,Poor,10.0,53.0,15.0,124.0,243.0,9.0
2021-11-15,203.0,Poor,8.0,54.0,17.0,107.0,203.0,7.0
2021-11-16,186.0,Moderately Polluted,8.0,52.0,14.0,125.0,186.0,7.0
2021-11-17,204.0,Poor,6.0,48.0,12.0,110.0,204.0,6.0
2021-11-18,191.0,Moderately Polluted,15.0,53.0,13.0,135.0,191.0,13.0
2021-11-19,219.0,Poor,16.0,61.0,10.0,136.0,219.0,14.0
2021-11-20,221.0,Poor,15.0,90.0,17.0,99.0,221.0,14.0
2021-11-21,179.0,Moderately Polluted,8.0,94.0,17.0,77.0,179.0,7.0
2021-11-22,156.0,Moderately Polluted,15.0,75.0,15.0,134.0,156.0,18.0
2021-11-23,159.0,Moderately Polluted,11.0,85.0,15.0,140.0,159.0,10.0
2021-11-24,168.0,Moderately Polluted,11.0,85.0,17.0,119.0,168.0,10.0
2021-11-25,174.0,Moderately Polluted,12.0,94.0,17.0,154.0,174.0,11.0
2021-11-26,211.0,Poor,11.0,91.0,17.0,144.0,211.0,10.0
2021-11-27,222.0,Poor,9.0,85.0,19.0,131.0,222.0,8.0
2021-11-28,209.0,Poor,9.0,90.0,15.0,119.0,209.0,9.0
2021-11-29,197.0,Moderately Polluted,15.0,88.0,2.0,104.0,197.0,14.0
2021-11-30,179.0,Moderately Polluted,9.0,99.0,2.0,94.0,179.0,8.0
2021-12-01,170.0,Moderately Polluted,8.0,97.0,2.0,100.0,170.0,7.0
2021-12-02,173.0,Moderately Polluted,11.0,88.0,2.0,86.0,173.0,11.0
2021-12-03,158.0,Moderately Polluted,13.0,89.0,3.0,100.0,158.0,12.0
2021-12-04,166.0,Moderately Polluted,8.0,84.0,2.0,111.0,166.0,7.0
2021-12-05,180.0,Moderately Polluted,7.0,70.0,2.0,93.0,180.0,6.0
2021-12-06,166.0,Moderately Polluted,7.0,63.0,3.0,71.0,166.0,6.0
2021-12-07,134.0,Moderately Polluted,9.0,73.0,3.0,125.0,134.0,9.0
2021-12-08,141.0,Moderately Polluted,7.0,84.0,3.0,128.0,141.0,6.0
2021-12-09,174.0,Moderately Polluted,7.0,88.0,3.0,114.0,174.0,6.0
2021-12-10,183.0,Moderately Polluted,16.0,77.0,3.0,142.0,183.0,14.0
2021-12-11,194.0,Moderately Polluted,14.0,85.0,3.0,155.0,194.0,13.0
2021-12-12,226.0,Poor,10.0,90.0,4.0,226.0,171.0,9.0
2021-12-13,196.0,Moderately Polluted,12.0,86.0,3.0,184.0,196.0,11.0
2021-12-14,189.0,Moderately Polluted,8.0,78.0,3.0,134.0,189.0,7.0
2021-12-15,165.0,Moderately Polluted,7.0,76.0,2.0,134.0,165.0,7.0
2021-12-16,166.0,Moderately Polluted,6.0,62.0,3.0,97.0,166.0,6.0
2021-12-17,149.0,Moderately Polluted,6.0,69.0,3.0,102.0,149.0,5.0
2021-12-18,140.0,Moderately Polluted,8.0,67.0,4.0,119.0,140.0,7.0
2021-12-19,195.0,Moderately Polluted,9.0,83.0,3.0,195.0,157.0,8.0
2021-12-20,208.0,Poor,8.0,89.0,4.0,208.0,185.0,8.0
2021-12-21,239.0,Poor,14.0,96.0,6.0,239.0,197.0,13.0
2021-12-22,306.0,Very Poor,17.0,77.0,4.0,306.0,224.0,16.0
2021-12-23,207.0,Poor,11.0,58.0,8.0,134.0,207.0,10.0
2021-12-24,168.0,Moderately Polluted,7.0,55.0,6.0,126.0,168.0,6.0
2021-12-25,152.0,Moderately Polluted,6.0,64.0,5.0,123.0,152.0,5.0
2021-12-26,156.0,Moderately Polluted,7.0,55.0,6.0,123.0,156.0,6.0
2021-12-27,167.0,Moderately Polluted,6.0,42.0,6.0,91.0,167.0,5.0
2021-12-28,155.0,Moderately Polluted,6.0,36.0,6.0,88.0,155.0,5.0
2021-12-29,137.0,Moderately Polluted,6.0,36.0,6.0,67.0,137.0,5.0
2021-12-30,113.0,Moderately Polluted,6.0,35.0,6.0,89.0,113.0,5.0
2021-12-31,148.0,Moderately Polluted,9.0,45.0,6.0,148.0,146.0,8.0
2022-01-01,186.0,Moderately Polluted,9.0,49.0,5.0,139.0,186.0,9.0
2022-01-02,185.0,Moderately Polluted,11.0,60.0,5.0,128.0,185.0,10.0
2022-01-03,191.0,Moderately Polluted,21.0,67.0,5.0,132.0,191.0,19.0
2022-01-04,192.0,Moderately Polluted,12.0,60.0,4.0,103.0,192.0,11.0
2022-01-05,172.0,Moderately Polluted,5.0,71.0,4.0,77.0,172.0,4.0
2022-01-06,148.0,Moderately Polluted,5.0,50.0,4.0,66.0,148.0,4.0
2022-01-07,133.0,Moderately Polluted,4.0,44.0,4.0,51.0,133.0,3.0
2022-01-08,100.0,Satisfactory,4.0,39.0,4.0,59.0,100.0,3.0
2022-01-09,119.0,Moderately Polluted,4.0,37.0,4.0,55.0,119.0,3.0
2022-01-10,92.0,Satisfactory,6.0,52.0,8.0,85.0,92.0,5.0
2022-01-11,117.0,Moderately Polluted,6.0,38.0,10.0,104.0,117.0,5.0
2022-01-12,135.0,Moderately Polluted,5.0,18.0,11.0,107.0,135.0,4.0
2022-01-13,154.0,Moderately Polluted,4.0,16.0,11.0,96.0,154.0,4.0
2022-01-14,165.0,Moderately Polluted,4.0,18.0,9.0,100.0,165.0,4.0
2022-01-15,176.0,Moderately Polluted,6.0,20.0,8.0,107.0,176.0,6.0
2022-01-16,170.0,Moderately Polluted,5.0,19.0,8.0,90.0,170.0,4.0
2022-01-17,164.0,Moderately Polluted,4.0,23.0,4.0,96.0,164.0,4.0
2022-01-18,164.0,Moderately Polluted,5.0,29.0,8.0,140.0,164.0,5.0
2022-01-19,220.0,Poor,7.0,43.0,8.0,220.0,202.0,6.0
2022-01-20,223.0,Poor,8.0,60.0,11.0,180.0,223.0,8.0
2022-01-21,212.0,Poor,6.0,62.0,4.0,97.0,212.0,5.0
2022-01-22,169.0,Moderately Polluted,6.0,76.0,5.0,93.0,169.0,5.0
2022-01-23,163.0,Moderately Polluted,6.0,95.0,5.0,83.0,163.0,5.0
2022-01-24,137.0,Moderately Polluted,6.0,93.0,12.0,110.0,137.0,5.0
2022-01-25,144.0,Moderately Polluted,7.0,65.0,11.0,144.0,129.0,6.0
2022-01-26,185.0,Moderately Polluted,11.0,78.0,10.0,173.0,185.0,10.0
2022-01-27,205.0,Poor,10.0,69.0,17.0,118.0,205.0,9.0
2022-01-28,175.0,Moderately Polluted,19.0,52.0,17.0,145.0,175.0,18.0
2022-01-29,166.0,Moderately Polluted,12.0,35.0,17.0,136.0,166.0,11.0
2022-01-30,148.0,Moderately Polluted,7.0,37.0,11.0,145.0,148.0,7.0
2022-01-31,202.0,Poor,9.0,40.0,13.0,111.0,202.0,8.0
2022-02-01,175.0,Moderately Polluted,7.0,39.0,13.0,96.0,175.0,6.0
2022-02-02,171.0,Moderately Polluted,7.0,32.0,17.0,97.0,171.0,7.0
2022-02-03,170.0,Moderately Polluted,10.0,35.0,10.0,70.0,170.0,9.0
2022-02-04,147.0,Moderately Polluted,10.0,39.0,13.0,73.0,147.0,9.0
2022-02-05,135.0,Moderately Polluted,19.0,36.0,23.0,107.0,135.0,19.0
2022-02-06,163.0,Moderately Polluted,10.0,43.0,15.0,119.0,163.0,9.0
2022-02-07,171.0,Moderately Polluted,7.0,45.0,16.0,81.0,171.0,6.0
2022-02-08,150.0,Moderately Polluted,6.0,33.0,14.0,84.0,150.0,6.0
2022-02-09,160.0,Moderately Polluted,5.0,33.0,13.0,55.0,160.0,4.0
2022-02-10,110.0,Moderately Polluted,7.0,36.0,16.0,72.0,110.0,6.0
2022-02-11,148.0,Moderately Polluted,11.0,41.0,17.0,69.0,148.0,11.0
2022-02-12,132.0,Moderately Polluted,17.0,49.0,19.0,114.0,132.0,20.0
2022-02-13,199.0,Moderately Polluted,12.0,51.0,17.0,132.0,199.0,13.0
2022-02-14,180.0,Moderately Polluted,9.0,50.0,16.0,115.0,180.0,11.0
2022-02-15,156.0,Moderately Polluted,21.0,58.0,18.0,149.0,156.0,38.0
2022-02-16,169.0,Moderately Polluted,19.0,52.0,15.0,118.0,169.0,27.0
2022-02-17,157.0,Moderately Polluted,24.0,44.0,15.0,112.0,157.0,33.0
2022-02-18,179.0,Moderately Polluted,14.0,45.0,16.0,74.0,179.0,13.0
2022-02-19,151.0,Moderately Polluted,9.0,39.0,18.0,64.0,151.0,8.0
2022-02-20,116.0,Moderately Polluted,24.0,45.0,16.0,93.0,116.0,30.0
2022-02-21,153.0,Moderately Polluted,13.0,31.0,18.0,84.0,153.0,12.0
2022-02-22,158.0,Moderately Polluted,11.0,31.0,17.0,88.0,158.0,11.0
2022-02-23,169.0,Moderately Polluted,8.0,37.0,6.0,90.0,169.0,7.0
2022-02-24,167.0,Moderately Polluted,6.0,45.0,11.0,82.0,167.0,6.0
2022-02-25,149.0,Moderately Polluted,6.0,37.0,15.0,72.0,149.0,5.0
2022-02-26,146.0,Moderately Polluted,5.0,29.0,14.0,49.0,146.0,5.0
2022-02-27,102.0,Moderately Polluted,5.0,33.0,18.0,49.0,102.0,4.0
2022-02-28,95.0,Satisfactory,6.0,32.0,26.0,73.0,95.0,6.0
2022-03-01,131.0,Moderately Polluted,6.0,35.0,26.0,84.0,131.0,6.0
2022-03-02,166.0,Moderately Polluted,15.0,41.0,25.0,121.0,166.0,17.0
2022-03-03,185.0,Moderately Polluted,8.0,32.0,20.0,88.0,185.0,7.0
2022-03-04,167.0,Moderately Polluted,7.0,29.0,18.0,68.0,167.0,7.0
2022-03-05,142.0,Moderately Polluted,20.0,38.0,23.0,91.0,142.0,21.0
2022-03-06,276.0,Poor,10.0,36.0,25.0,276.0,158.0,10.0
2022-03-07,178.0,Moderately Polluted,8.0,37.0,19.0,76.0,178.0,8.0
2022-03-08,152.0,Moderately Polluted,11.0,39.0,17.0,78.0,152.0,11.0
2022-03-09,136.0,Moderately Polluted,13.0,40.0,14.0,74.0,136.0,13.0
2022-03-10,126.0,Moderately Polluted,9.0,36.0,15.0,75.0,126.0,8.0
2022-03-11,153.0,Moderately Polluted,11.0,32.0,18.0,74.0,153.0,10.0
2022-03-12,151.0,Moderately Polluted,25.0,39.0,21.0,,151.0,42.0
2022-03-13,180.0,Moderately Polluted,16.0,38.0,19.0,112.0,180.0,14.0
2022-03-14,156.0,Moderately Polluted,10.0,34.0,22.0,92.0,156.0,9.0
2022-03-15,172.0,Moderately Polluted,22.0,36.0,20.0,95.0,172.0,24.0
2022-03-16,160.0,Moderately Polluted,22.0,30.0,20.0,93.0,160.0,24.0
2022-03-17,162.0,Moderately Polluted,13.0,31.0,22.0,85.0,162.0,12.0
2022-03-18,166.0,Moderately Polluted,12.0,32.0,23.0,77.0,166.0,11.0
2022-03-19,157.0,Moderately Polluted,11.0,37.0,22.0,76.0,157.0,10.0
2022-03-20,146.0,Moderately Polluted,15.0,29.0,19.0,80.0,146.0,14.0
2022-03-21,134.0,Moderately Polluted,11.0,24.0,19.0,73.0,134.0,10.0
2022-03-22,134.0,Moderately Polluted,12.0,26.0,25.0,73.0,134.0,11.0
2022-03-23,147.0,Moderately Polluted,19.0,,23.0,86.0,147.0,18.0
2022-03-24,154.0,Moderately Polluted,13.0,,20.0,78.0,154.0,15.0
2022-03-25,136.0,Moderately Polluted,10.0,,24.0,76.0,136.0,9.0
2022-03-26,129.0,Moderately Polluted,11.0,,20.0,79.0,129.0,27.0
2022-03-27,130.0,Moderately Polluted,24.0,,21.0,103.0,130.0,37.0
2022-03-28,165.0,Moderately Polluted,13.0,,17.0,84.0,165.0,20.0
2022-03-29,148.0,Moderately Polluted,18.0,,20.0,99.0,148.0,20.0
2022-03-30,158.0,Moderately Polluted,13.0,,22.0,90.0,158.0,12.0
2022-03-31,160.0,Moderately Polluted,11.0,,22.0,85.0,160.0,11.0
2022-04-01,158.0,Moderately Polluted,10.0,,25.0,90.0,158.0,21.0
2022-04-02,145.0,Moderately Polluted,11.0,,27.0,144.0,145.0,10.0
2022-04-03,155.0,Moderately Polluted,12.0,,21.0,129.0,155.0,24.0
2022-04-04,152.0,Moderately Polluted,14.0,,28.0,92.0,152.0,22.0
2022-04-05,145.0,Moderately Polluted,11.0,,26.0,64.0,145.0,15.0
2022-04-06,110.0,Moderately Polluted,17.0,,21.0,85.0,110.0,25.0
2022-04-07,141.0,Moderately Polluted,19.0,,20.0,75.0,141.0,20.0
2022-04-08,130.0,Moderately Polluted,20.0,,24.0,89.0,130.0,27.0
2022-04-09,141.0,Moderately Polluted,20.0,,28.0,107.0,141.0,22.0
2022-04-10,151.0,Moderately Polluted,19.0,,24.0,87.0,151.0,18.0
2022-04-11,138.0,Moderately Polluted,13.0,,26.0,85.0,138.0,12.0
2022-04-12,148.0,Moderately Polluted,16.0,,16.0,79.0,148.0,30.0
2022-04-13,131.0,Moderately Polluted,16.0,,12.0,100.0,131.0,15.0
2022-04-14,141.0,Moderately Polluted,10.0,,31.0,86.0,141.0,9.0
2022-04-15,148.0,Moderately Polluted,16.0,,32.0,82.0,148.0,16.0
2022-04-16,144.0,Moderately Polluted,12.0,,43.0,86.0,144.0,11.0
2022-04-17,,,,,,,162.0,
