,date, pm25, pm10, o3, no2, so2, co,AQI,AQI_bucket
54,2019-05-12,159.0,110.10087719298245,43.0,23.0,14.0,7.0,330.16279069767444,Very Poor
55,2019-05-13,178.0,110.10087719298245,43.0,24.0,3.0,8.0,344.74418604651163,Very Poor
56,2019-05-14,116.0,110.10087719298245,55.0,26.0,5.0,9.0,286.34482758620686,Poor
57,2019-05-15,148.0,110.10087719298245,42.0,23.0,4.0,7.0,321.72093023255815,Very Poor
58,2019-05-16,114.0,110.10087719298245,44.0,22.0,4.0,8.0,279.51724137931035,Poor
59,2019-05-17,145.0,110.10087719298245,35.0,16.0,4.0,6.0,319.4186046511628,Very Poor
60,2019-05-18,107.0,110.10087719298245,57.0,23.0,5.0,8.0,255.6206896551724,Poor
61,2019-05-19,143.0,110.10087719298245,55.0,35.0,11.0,16.0,317.8837209302326,Very Poor
62,2019-05-20,144.0,110.10087719298245,49.0,44.0,11.0,17.0,318.6511627906977,Very Poor
63,2019-05-21,171.0,110.10087719298245,48.0,30.0,11.0,13.0,339.37209302325584,Very Poor
64,2019-05-22,145.0,110.10087719298245,53.0,26.0,7.0,12.0,319.4186046511628,Very Poor
65,2019-05-23,138.0,110.10087719298245,39.0,19.0,8.0,6.0,314.04651162790697,Very Poor
66,2019-05-24,121.0,110.10087719298245,47.0,15.0,4.0,6.0,301.0,Very Poor
67,2019-05-25,115.0,110.10087719298245,50.0,29.0,11.0,12.0,282.9310344827586,Poor
68,2019-05-26,122.0,110.10087719298245,51.0,40.0,13.0,15.0,301.7674418604651,Very Poor
69,2019-05-27,135.0,110.10087719298245,56.0,39.0,12.0,14.0,311.74418604651163,Very Poor
70,2019-05-28,135.0,110.10087719298245,58.0,40.0,10.0,17.0,311.74418604651163,Very Poor
71,2019-05-29,129.0,110.10087719298245,62.0,46.0,13.0,19.0,312.6470588235294,Very Poor
72,2019-05-30,153.0,110.10087719298245,53.0,25.0,8.0,12.0,325.5581395348837,Very Poor
73,2019-05-31,161.0,110.10087719298245,49.0,21.0,7.0,13.0,331.69767441860466,Very Poor
74,2019-06-01,137.0,110.10087719298245,38.0,12.0,5.0,10.0,313.27906976744185,Very Poor
75,2019-06-02,147.0,110.10087719298245,45.0,12.0,4.0,9.0,320.95348837209303,Very Poor
76,2019-06-03,111.0,110.10087719298245,48.0,16.0,7.0,11.0,269.2758620689655,Poor
77,2019-06-04,129.0,110.10087719298245,53.0,16.0,7.0,12.0,307.13953488372096,Very Poor
78,2019-06-05,152.0,110.10087719298245,46.0,13.0,5.0,12.0,324.7906976744186,Very Poor
79,2019-06-06,149.0,110.10087719298245,48.0,14.0,4.0,8.0,322.48837209302326,Very Poor
80,2019-06-07,91.0,110.10087719298245,52.0,27.0,6.0,14.0,257.57142857142856,Poor
81,2019-06-08,115.0,110.10087719298245,64.0,32.0,7.0,15.0,282.9310344827586,Poor
82,2019-06-09,136.0,110.10087719298245,63.0,37.0,9.0,15.0,312.51162790697674,Very Poor
83,2019-06-10,159.0,110.10087719298245,61.0,21.0,6.0,11.0,330.16279069767444,Very Poor
84,2019-06-11,139.0,110.10087719298245,32.0,16.0,4.0,10.0,314.8139534883721,Very Poor
85,2019-06-12,115.0,110.10087719298245,19.0,29.0,5.0,18.0,306.8235294117647,Very Poor
86,2019-06-13,155.0,110.10087719298245,36.0,28.0,13.0,13.0,327.09302325581393,Very Poor
87,2019-06-14,113.0,110.10087719298245,50.0,36.0,11.0,16.0,285.8571428571429,Poor
88,2019-06-15,147.0,110.10087719298245,35.0,13.0,13.0,6.0,320.95348837209303,Very Poor
89,2019-06-16,116.0,110.10087719298245,22.73508137432188,27.716446124763706,8.597826086956522,11.476315789473684,286.34482758620686,Poor
90,2019-06-18,148.57956600361663,110.10087719298245,23.0,19.0,8.0,12.0,322.165713444636,Very Poor
91,2019-06-19,130.0,110.10087719298245,38.0,19.0,7.0,8.0,307.90697674418607,Very Poor
92,2019-06-20,111.0,110.10087719298245,35.0,18.0,3.0,9.0,269.2758620689655,Poor
93,2019-06-21,130.0,110.10087719298245,31.0,16.0,2.0,9.0,307.90697674418607,Very Poor
94,2019-06-22,111.0,110.10087719298245,13.0,8.0,2.0,7.0,269.2758620689655,Poor
